item_id,item,label,425
389654490653397000,RT @mariexplorer: Good morning #cebu #sea #paradise #philippines #ocean http://t.co/lMOuXMRIZe,not informative,575
389896900444320000,Where is Liloan Central Field and how do we get there? What are the landmarks? Thank you. @CebuRetweets #cebu,not informative,
389908166353232000,"Earthquake in Iloilo, Philippines! My head's aching.",not informative,
389909609190007000,"RT @LastQuake: NEW: Felt #earthquake M7.0 - Bohol, Philippines - October 15, 2013, 00:12 UTC (7 min ago) http://t.co/Q2wT2fxoH0",Informative,
389910137676108000,"RT @NewEarthquake: 7.2 earthquake, 2km S of Nueva Vida Sur, Philippines. Oct 15 08:12 at epicenter (10m ago, 25km Tagbilaran, depth... http…",Informative,
389910670361100000,"RT @gmanews: JUST IN: Magnitude 7.2 earthquake: 2km south of Carmen and Nueva Vida Sur, Philippines. | via @NewEarthquake @USGS",Informative,
389911173665002000,"RT @NewEarthquake: 7.2 earthquake, 2km S of Nueva Vida Sur, Philippines. Oct 15 08:12 at epicenter (10m ago, 25km Tagbilaran, depth... http…",Informative,
389911358214394000,"RT @gmanews: JUST IN: Magnitude 7.2 earthquake: 2km south of Carmen and Nueva Vida Sur, Philippines. | via @NewEarthquake @USGS",Informative,
389911794442965000,RT @BreakingNews: 7.2 earthquake recorded in the Philippines' Bohol province - @usgs http://t.co/sVOzYsZR5X,Informative,
389911937040933000,"RT @NewEarthquake: 7.2 earthquake, 2km S of Nueva Vida Sur, Philippines. Oct 15 08:12 at epicenter (10m ago, 25km Tagbilaran, depth... http…",Informative,
389911949644808000,"RT @NewEarthquake: 7.2 earthquake, 2km S of Nueva Vida Sur, Philippines. Oct 15 08:12 at epicenter (10m ago, 25km Tagbilaran, depth... http…",Informative,
389912536834794000,"RT @NWS_PTWC: NO widespread tsunami hazard for 7.2 magnitude earthquake in Mindanao,  Philippines #tsunami #PTWC http://t.co/lwjSP8Su1p",Informative,
389912650068402000,"Southern Philippines hit by 7.4 magnitude earthquake, no threat of Pacific-wide tsunami.",Informative,
389913535074927000,Bendícenos Señor por el terremoto terrible. #PrayforPhilippines #Philippines #Dumaguete #earthquake,not informative,
389913589596705000,RT @LanceUlanoff: 7.2 Earthquake in Philippines just now http://t.co/MeXQZHjdNt via: @dorybenami,Informative,
389913644131045000,"RT @ABC7: #EARTHQUAKE Quake with prelim mag of 7.2 struck Philippines, 25 miles east-northeast of Tagbilaran, Bohoi; no tsunami warning yet",Informative,
389913971287155000,RT @RT_com: #BREAKING: 7.2 quake hits southern #Philippines; no threat of Pacific-wide tsunami http://t.co/0J6Eg19Gws,Informative,
389913979687944000,It's a good thing the kids are at home today. #earthquake #bacolod #philippines,not informative,
389914239730610000,"Magnitude 7.4 quake hits Philippines, no tsunami threat: SYDNEY (Reuters) - An earthquake with a preliminary m... http://t.co/UTzExxP76A",Informative,
389915464446796000,"RT @NWS_PTWC: NO widespread tsunami hazard for 7.2 magnitude earthquake in Mindanao,  Philippines #tsunami #PTWC http://t.co/lwjSP8Su1p",Informative,
389917091823763000,"USGS M 7.2, 5km E of Balilihan, Philippines: Tuesday, October 15, 2013 00:12:37 UTCTuesday, Octobe... http://t.co/UxYqnxv1b7 #earthquake",Informative,
389917205078753000,"RT @YouScoop: PHOTO: Magnitude 7.2 quake 5KM E of Balilihan, Bohol, Philippines. Please stay safe. http://t.co/S2Dzdyaxm6",Informative,
389917750363030000,"#Temblor♨ M 5.4, 6km NNE of Nueva Fuerza, Philippines http://t.co/4hpmJmNcc2 #Earthquake #Sismo",Informative,
389918157202129000,"RT @YouScoop: PHOTO: Magnitude 7.2 quake 5KM E of Balilihan, Bohol, Philippines. Please stay safe. http://t.co/sKK8NZx49J",Informative,
389918857642537000,"RT @Tweetbrk: NEW: Significant preliminary 7.2 magnitude earthquake just off Nueva Vida Sur, Philippines - @MicahGrimes",Informative,
389919981720195000,RT @hamburqa: there was a 7.2 magnitude earthquake in philippines after u posted that G.U.Y. snippet. THIS WORLD CAN'T HANDLE #ARTPOP. @lad…,Informative,
389920120119636000,National Disaster Agency: 4 people killed in building collapse in Cebu after Philippines quake - @Reuters,Informative,
389920547934450000,A 7.4 magnitude #earthquake has hit the southern #Philippines. There's no threat of a #tsunami.,Informative,
389922229871321000,"RT @BreakingNews: 4 people killed in building collapse in Cebu Philippines after 7.2 earthquake, per National Disaster Agency - @Reuters",Informative,
389922267594887000,RT @joshdanieldlr: Just a strong earthquake recently happened... let's pray 4 those who were badly affected... God bless us. #cebu,not informative,
389922594788364000,7.4 quake strikes Philippines http://t.co/CYFzDjMH8X,Informative,
389922607333515000,"RT @BreakingNews: 4 people killed in building collapse in Cebu Philippines after 7.2 earthquake, per National Disaster Agency - @Reuters",Informative,
389923207127392000,"RT @YahooNews: Magnitude 7.4 quake hits Philippines, no tsunami threat: http://t.co/UikcL2p11t",Informative,
389923253285708000,RT @ilovejamich: Magnitude 7.2 #earthquake in Bohol :( Pagdasal natin lahat ng apektado. Sana maging safe ang lahat. #PrayForBohol #Philipp…,Informative,
389924079555207000,"RT @cnni: A 7.2-magnitude earthquake has struck in the southeastern Philippines, the U.S. Geological Survey says. http://t.co/3jwtWsTrP9",Informative,
389924092130107000,"#earthquake M7.2: Bohol, Philippines http://t.co/mcLjuPxXBX",Informative,
389924213751964000,"Lord God, keep the people safe in the Philippines  #earthquake",not informative,
389924276666524000,"RT @abcnews: #Breaking: #Earthquake measuring 7.4 hits southern Philippines, says USGS",Informative,
389924633220112000,7.2 quake hits southern Philippines http://t.co/XB9WUM3B7V,Informative,
389924834547089000,Major earthquake hits the Philippines http://t.co/uS0nhcvUl6,Informative,
389926310924915000,#Jackrobinson73 7.2-earthquake hits Philippines http://t.co/g1fzaRGjnp #Jackrobinson73,Informative,
389926344487760000,Major quake hits Philippines http://t.co/fHHxr8iWrg,Informative,
389926386418217000,Breaking: A 7.2 earthquake just hit Bohol in central Philippines.,Informative,
389926617109524000,"RT @BBCBreaking: At least four killed in building collapse after 7.2 magnitude earthquake in Philippines near Cebu, officials say",Informative,
389926671618298000,RT @EarthAlerts: #earthquake: M 7.2 - Pacific Ocean - West Philippines [Central Visayas] Buenavista: Preliminary Earthquake Rep... http://t…,Informative,
389927502119850000,RT @SmileForDaniel: Let us all pray for the earthquake victims. Hope everyone is safe. #PrayForVisayas 🙏,not informative,
389927728591294000,"@BBCBreaking: At least four killed in building collapse after 7.2 magnitude earthquake in Philippines near Cebu, officials say 😢",Informative,
389927887991628000,RT @mindanaoan: Is this in #Bohol Robert? OMG so heartbreaking!!! #earthquake RT @tokyodrastic: 400 year old tower collapsed... http://t.co…,Informative,
389927984435450000,RT @SmileForDaniel: Let us all pray for the earthquake victims. Hope everyone is safe. #PrayForVisayas 🙏,not informative,
389928051540128000,Major earthquake hits the Philippines http://t.co/uI8F8FeCsa,Informative,
389928236118856000,"7.2 Quake Hits Central Philippines, Killing 4: 7.2-magnitude quake hits central Philippine island, killing at ... http://t.co/kt6daIcIei",Informative,
389928303219335000,"7.2 Quake Hits Central Philippines, Killing 4: 7.2-magnitude quake hits central Philippine island, killing at ... http://t.co/HekKxVreiN",Informative,
389929347617812000,'Four killed' by Philippines quake http://t.co/MWs7ccLiPP,Informative,
389929456665522000,RT @jerminix: Grabbed pic from the #earthquake aftermath.. stay safe everyone #cebu @sunstarcebu @gmanews @GMANewsOnline http://t.co/IYVXRB…,not informative,
389929771234111000,"7.2 quake his Philippines: MANILA, Oct. 14 (UPI) --  A magnitude-7.2 earthquake hit the Philippines Tuesday mo... http://t.co/1jAZw4Tpm1",Informative,
389929787990356000,@SmileForDaniel: Let us all pray for the earthquake victims. Hope everyone is safe. #PrayForVisayas 🙏,not informative,
389930106766246000,"RT @NBCNews: 7.2 quake strikes near one of Philippines' largest cities, according to USGS. Reuters &amp; local media report 4 killed http://t.c…",Informative,
389930605908988000,"RT @WW5SOSFamily: there was an earthquake in the philippines(visayas) earlier while i was fangirling at keek, pls pray for them guys it was…",Informative,
389930626867933000,"RT @RicoHizon: 7.2 magnitude quake strikes #Bohol, #Philippines at 8:12 am according to the USGS. Praying for the safety of our our kababay…",Informative,
389930853364548000,"RT @EXOffical_: Felt sorry for the victims of the magnitude 7.2 #earthquake in Bohol,Philippines :((",not informative,
389930907886686000,RT @itsbarbiexu: prayers to people of philippines affected by magnitude 7 earthquake. hope all is safe,not informative,
389931167941542000,"#SuryaRay #Indian 7.2 quake hits central Philippines, killing 4 - USA TODAY http://t.co/uSbXYdbBHO @SuryaRay #India",Informative,
389931205690278000,"RT @EXOffical_: Felt sorry for the victims of the magnitude 7.2 #earthquake in Bohol,Philippines :((",not informative,
389931276972876000,Photo: #Soco #glass #broken after the shaky #earthquake at #home #kaloka #cebu #instapic #instagram... http://t.co/JpZIdjEIaw,not informative,
389931490894549000,GOD . wag nio po clang papabayaan #PrayForBohol,not informative,
389931578971132000,"4 people killed in building collapse in Cebu Philippines after 7.2 earthquake, per National Disaster Agency - @Reuters",Informative,
389931587363566000,"7.2-earthquake hits Philippines: A magnitude-7.2 earthquake struck in the southeastern Philippines on Tuesday,... http://t.co/YVFyXT1ltJ",Informative,
389931662874005000,"7.2 quake hits central Philippines, killing 4 - http://t.co/sx1fmLwhGb",Informative,
389931708994564000,RT @Reuters: Four killed in building collapse after Philippines quake: disaster agency http://t.co/oPHoBr6CFq,Informative,
389931721556115000,"7.2-earthquake hits Philippines: A magnitude-7.2 earthquake struck in the southeastern Philippines on Tuesday,... http://t.co/ctlNeG4G40",Informative,
389931935486591000,"7.2-earthquake hits Philippines: A magnitude-7.2 earthquake struck in the southeastern Philippines on Tuesday,... http://t.co/5a2SG6gu3S",Informative,
389932359098724000,RT @EXOffical_: NOW: Church and roads impacted by large 7.2 magnitude #earthquake in #Bohol #Philippines Tuesday. 4 dead. http://t.co/CUzVD…,Informative,
389932552066052000,RT @disguised101: @danicelorenzo: i pray for the safety of the people there in visayas #earthquake #Philippines http://t.co/aNW5FJW3pS St…,not informative,
389932656885899000,RT @nglive2: AFP Major 7.2 magnitude quake strikes Philippines: USGS http://t.co/6LyIvywxkQ,Informative,
389932694638842000,"RT @BBCBreaking: 7.2 magnitude earthquake hits central Philippines, killing four, but no tsunami expected say officials http://t.co/5iok6dD…",Informative,
389932761772880000,"RT @bbcnews_ticker: Earthquake measuring 7.2 magnitude hits central Philippines, killing four people - officials http://t.co/4wmjUmSW4u",Informative,
389932828890108000,7.2 magnitude keep safe everyone #PrayForBohol and to the nearest island who also affected of earthquake #PrayForPhilippines,Informative,
389933231531102000,"RT @duvall_jd: 7.2 quake hits central Philippines, killing 4 - USA TODAY: Vancouver Sun7.2 quake hits central Ph... http://t.co/EGYxj0FEaC …",Informative,
389933239902544000,@Reuters: Four killed in building collapse after Philippines quake: disaster agency http://t.co/tCt1uHnbS0,Informative,
389933332177650000,Latest on the deadly #earthquake that hit the #Philippines just over an hour ago.... http://t.co/0zBCFdXD8J http://t.co/rhrO0kw3SI...,Informative,
389933365731660000,Let's be united and pray for the #EarthquakeVictims in Bohol and other nearby provinces. #PrayforVisayas #earthquake,not informative,
389933592228291000,RT @kenzhuxiaotian: “@itsbarbiexu: prayers to people of philippines affected by magnitude 7 earthquake. hope all is safe” -Be safe guys!,not informative,
389933822936367000,"Felt sorry for the victims of the magnitude 7.2 #earthquake in Bohol,Philippines :((",not informative,
389933898433835000,"For a Boholano OFW like me, walang ibang magawa sa ngayon kundi ang magdasal at umiyak. #prayforBohol",not informative,
389933999084171000,RT @yongchavezLA: RT @NBCNews: 7.2 quake strikes near one of Philippines' largest cities. Reuters &amp; local media report 4 killed http://t.co…,Informative,
389934313669919000,RT @LANow: No California tsunami threat after 7.2 earthquake in Philippines http://t.co/5j8N1TsdLm,Informative,
389934468854604000,RT @GasiaKTVU: #breaking Radio reports say a 7.2-magnitude quake has killed at least 4 people in central Philippines @KTVU,Informative,
389934649197097000,RT @ABC7: PHILIPPINES #EARTHQUAKE: Radio reports say 7.2-mag. quake has killed at least 4 people in central Philippines http://t.co/QTOTifx…,Informative,
389934682747322000,"RT @BBCBreaking: 7.2 magnitude earthquake hits central Philippines, killing four, but no tsunami expected say officials http://t.co/5iok6dD…",Informative,
389934775022387000,Just found out about what happened in #bohol.. saw pictures of churches ruined. :(( #keepsafe #earthquakes,not informative,
389935026705416000,“@gabyramaaaa: Loboc Church in Bohol #prayforbohol http://t.co/G1ZOvh5Zgl”,not informative,
389935244788257000,RT @ABC7: PHILIPPINES #EARTHQUAKE: Radio reports say 7.2-mag. quake has killed at least 4 people in central (more) http://t.co/MHGv5ifvHZ,Informative,
389935857157034000,RT @AP: BREAKING: Radio reports say a 7.2-magnitude quake has killed at least 4 people in central Philippines,Informative,
389936528245268000,#PrayforBoholandCebu #PrayForBohol #PrayForCarmenBohol 🙏🙏,not informative,
389937308406776000,Magnitude 7.2 is no more joke.. #PrayForBohol,Informative,
389938008851366000,"#PrayforVisayas Kanta nalang ako, para hindi ma rattle :( :(",Informative,
389938067554853000,please pray for #Bohol,not informative,
389939166479258000,"RT @BBCBreaking: 7.2 magnitude earthquake hits central Philippines, killing four, but no tsunami expected say officials http://t.co/5iok6dD…",Informative,
389939170652590000,RT @ABC7: PHILIPPINES #EARTHQUAKE: Radio reports say 7.2-mag. quake has killed at least 4 people in central Philippines http://t.co/QTOTifx…,Informative,
389939254559662000,Sending my prayers to all those affected by 7.2 magnitude earthquake that just hit the Philippines.,not informative,
389939543966614000,RT @alliharvard: i just heard about the earthquake in the philippines! i hope everyone is okay ♡,not informative,
389940261180023000,RT @alliharvard: i just heard about the earthquake in the philippines! i hope everyone is okay ♡,not informative,
389940768703406000,"Before anything else, #PrayforVisayas",not informative,
389940814844932000,"RT @Elcid_Lao: The Miraculous Famous Dauis Church of Panglao, Bohol destroyed!!! @ABSCBNNews Photo: Thara co #PrayForBohol http://t.co/DAl1…",Informative,
